,trial,filename,position,mask
0,1,face_005_03.png,down,mask_017.png
1,2,scramble_face_120_03.png,down,mask_025.png
2,3,face_008_03.png,up,mask_033.png
3,4,scramble_face_021_03.png,up,mask_002.png
4,5,face_044_03.png,up,mask_033.png
5,6,scramble_face_044_03.png,up,mask_043.png
6,7,scramble_face_061_03.png,down,mask_034.png
7,8,scramble_face_012_03.png,down,mask_003.png
8,9,face_021_03.png,down,mask_001.png
9,10,face_012_03.png,up,mask_012.png
10,11,scramble_face_025_03.png,up,mask_032.png
11,12,scramble_face_126_03.png,down,mask_015.png
12,13,face_061_03.png,down,mask_044.png
13,14,face_024_03.png,up,mask_018.png
14,15,face_126_03.png,down,mask_042.png
15,16,face_013_03.png,down,mask_027.png
16,17,scramble_face_024_03.png,down,mask_044.png
17,18,scramble_face_013_03.png,down,mask_019.png
18,19,scramble_face_119_03.png,down,mask_034.png
19,20,scramble_face_038_03.png,up,mask_036.png
20,21,face_034_03.png,up,mask_021.png
21,22,scramble_face_005_03.png,up,mask_041.png
22,23,face_038_03.png,up,mask_017.png
23,24,scramble_face_001_03.png,down,mask_027.png
24,25,face_120_03.png,up,mask_037.png
25,26,scramble_face_008_03.png,up,mask_012.png
26,27,face_025_03.png,down,mask_030.png
27,28,face_006_03.png,up,mask_008.png
28,29,scramble_face_006_03.png,up,mask_013.png
29,30,scramble_face_034_03.png,down,mask_042.png
30,31,face_119_03.png,up,mask_026.png
31,32,face_001_03.png,down,mask_009.png
